Empresa;Família;Modelo;OPC;Chassi;Placa;Veículo;Estado Placa;Ano;Cor;NF Número;Valor Compra;Custo Operacional;Preço Público/Venda;Custo Valor Compra;NF Compra;Empresa Compra;Valor Agregado;KM;Opcionais;Data Chegada;Dias Estoque;Data Emissão;Situação;Valor Escrito;Valor Escrito2;Valor Escrito3;Combustível;Avaliação Usado;Em Trânsito;Pago;Data Pagamento;Estoque;Flag Proposta;Flag Pedido;Flag Bloqueio;Flag Reserva;NTI Valor;Tipo Faturamento;Valores Agregados;Pis/Fin;ICMS Valor Venda;Valor HoldBack;Nr. Renavam;Promoção;Custo Venda;Localização;Floor;Tipo Transmissão
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB115768;;111382;;2026/2027;PRATA SHARK;        3049341;98930,55;0,00;119990,00;98930,55;   170511;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB112140;;111377;;2026/2027;PRATA SHARK;        3049342;98930,55;0,00;119990,00;98930,55;   170512;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB112129;;111376;;2026/2027;PRATA SHARK;        3049343;98930,55;0,00;119990,00;98930,55;   170513;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB120037;;111389;;2026/2027;BRANCO SUMMIT;        3049344;98930,55;0,00;119990,00;98930,55;   170514;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB112204;;111378;;2026/2027;PRATA SHARK;        3049345;98930,55;0,00;119990,00;98930,55;   170515;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB115605;;111380;;2026/2027;PRATA SHARK;        3049346;98930,55;0,00;119990,00;98930,55;   170516;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB112237;;111379;;2026/2027;PRATA SHARK;        3049347;98930,55;0,00;119990,00;98930,55;   170517;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB106651;;111372;;2026/2027;BRANCO SUMMIT;        3049351;98930,55;0,00;119990,00;98930,55;   170518;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB118462;;111388;;2026/2027;CINZA AMBAR;        3049352;98930,55;0,00;119990,00;98930,55;   170519;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB118448;;111387;;2026/2027;CINZA AMBAR;        3049354;98930,55;0,00;119990,00;98930,55;   170520;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
